variant,report_id,phase,phase_disclosure_idx,occurrence_idx,standard_id,disclosure_id,material_topic,requirement_id,status,decision_path,rationale,citations_json,confidence,source
a0,Bangchak2024,phase3,0,0,GRI 2,2-1,,a,pass,standard,Legal name 'Bangchak Corporation Public Company Limited' is explicitly stated in chunks 0022 and 0023.,"[""Bangchak2024__c_0022"", ""Bangchak2024__c_0023""]",0.0,cache
a0,Bangchak2024,phase3,0,0,GRI 2,2-1,,b,partial,standard,"Legal form ('Public Company Limited') is mentioned in chunk 0022, but ownership details are not explicitly described.","[""Bangchak2024__c_0022""]",0.0,cache
a0,Bangchak2024,phase3,0,0,GRI 2,2-1,,c,pass,standard,"Headquarters address in Bangkok, Thailand is explicitly provided in chunk 0023.","[""Bangchak2024__c_0023""]",0.0,cache
a0,Bangchak2024,phase3,0,0,GRI 2,2-1,,d,pass,standard,"Countries of operation (Thailand, Cambodia, Laos, etc.) are explicitly listed in chunk 0024.","[""Bangchak2024__c_0024""]",0.0,cache
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,a,partial,standard,"Entities like Phra Khanong Refinery, Surat Thani Oil Depot, and 4 Region Business Centers are explicitly named, but the report does not confirm completeness of the entity list.","[""Bangchak2024__c_0333"", ""Bangchak2024__c_0334""]",0.75,llm
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,b,no_evidence,standard,No mention of differences between sustainability and financial reporting scopes.,[],0.2,llm
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,c.i,no_evidence,standard,No explanation of consolidation approach or minority interest adjustments.,[],0.1,llm
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,c.ii,no_evidence,standard,"No mention of mergers, acquisitions, or disposals in consolidation methodology.",[],0.1,llm
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,c.iii,no_evidence,standard,No discussion of scope differences across disclosures or material topics.,[],0.1,llm
a0,Bangchak2024,phase3,2,0,GRI 2,2-3,,a,pass,standard,"The report explicitly states the reporting period as 'January 1st to December 31st, 2024' and mentions preparation since 2006, implying annual frequency.","[""Bangchak2024__c_0330""]",0.0,cache
a0,Bangchak2024,phase3,2,0,GRI 2,2-3,,b,no_evidence,standard,No evidence mentions financial reporting periods or alignment with sustainability reporting periods.,[],0.0,cache
a0,Bangchak2024,phase3,2,0,GRI 2,2-3,,c,no_evidence,standard,The report does not specify the publication date of the report.,[],0.0,cache
a0,Bangchak2024,phase3,2,0,GRI 2,2-3,,d,pass,standard,The contact point 'Corporate Sustainability Management' with a phone number is explicitly provided.,"[""Bangchak2024__c_0332""]",0.0,cache
a0,Bangchak2024,phase3,3,0,GRI 2,2-4,,a.i,pass,reported_non_existence,The report explicitly states no data/methodology changes required restatements (chunk 0330).,"[""Bangchak2024__c_0330""]",0.0,cache
a0,Bangchak2024,phase3,3,0,GRI 2,2-4,,a.ii,pass,reported_non_existence,No restatements occurred as no amendments were needed (chunk 0330).,"[""Bangchak2024__c_0330""]",0.0,cache
a0,Bangchak2024,phase3,11,0,GRI 2,2-12,,a,pass,standard,"Evidence describes the Sustainability Policy Committee (SPC) setting sustainability goals, strategies, and policies aligned with SDGs and Net Zero targets, with senior executives involved.","[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,11,0,GRI 2,2-12,,b.i,pass,standard,"Evidence states the SPC and SMC engage with stakeholders by considering their expectations and SDGs, and regularly review sustainability assessments.","[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,11,0,GRI 2,2-12,,b.ii,pass,standard,"Evidence describes the SPC and SMC considering outcomes of sustainability processes to set direction, strategies, and progress reports.","[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,11,0,GRI 2,2-12,,c,pass,standard,Evidence explicitly states meetings are held at least twice a year to review sustainability assessments and progress.,"[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,12,0,GRI 2,2-13,,a.i,pass,standard,"The report explicitly describes the Sustainability Policy Committee (SPC) chaired by the Group CEO, indicating senior executives are appointed with responsibility for sustainability management.","[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,12,0,GRI 2,2-13,,a.ii,partial,standard,The report mentions the Sustainability Management Committee (SMC) coordinates with committees but does not explicitly clarify if responsibility is delegated to non-senior employees.,"[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,12,0,GRI 2,2-13,,b,no_evidence,standard,No verdict produced.,[],,llm
a0,Bangchak2024,phase3,13,0,GRI 2,2-14,,a,no_evidence,standard,"No explicit statement confirms the highest governance body's responsibility for reviewing/approving reported information. Committees like SPC and SMC are mentioned, but not the highest body.","[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,13,0,GRI 2,2-14,,b,no_evidence,standard,Condition not addressed: Evidence does not state whether the highest governance body is not responsible for reviewing/approving information.,"[""Bangchak2024__c_0042""]",0.0,cache
a0,Bangchak2024,phase3,15,0,GRI 2,2-16,,a,no_evidence,standard,"No explicit mention of 'critical concerns' being communicated to governance bodies. References to committees (SMC, SPC, SCGC) exist but lack direct linkage to critical concerns.","[""Bangchak2024__c_0054""]",0.0,cache
a0,Bangchak2024,phase3,15,0,GRI 2,2-16,,b,no_evidence,standard,No quantitative or qualitative data on 'critical concerns' communicated to governance bodies during the reporting period. General stakeholder engagement methods are described but not tied to critical concerns.,"[""Bangchak2024__c_0053"", ""Bangchak2024__c_0054""]",0.0,cache
a0,Bangchak2024,phase3,21,0,GRI 2,2-22,,a,pass,standard,"CEO statement in chunk_0006 explicitly links sustainable development to strategy, including carbon neutrality goals and green innovation. Chunk_0005 supports strategic initiatives like SAF production and carbon markets.","[""Bangchak2024__c_0005"", ""Bangchak2024__c_0006""]",0.95,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,a.i,pass,standard,"Explicitly references UN Global Compact, SDGs, ISO, and other intergovernmental instruments.","[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,a.ii,pass,standard,Mentions 'Sustainability Due-Diligence Assessment for New Businesses' as a policy dimension.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,a.iii,no_evidence,standard,No mention of the precautionary principle in policy commitments.,[],0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,a.iv,pass,standard,Includes 'Human Rights Support for Sustainable Economic Prosperity' in policy dimensions.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,b.i,partial,standard,References human rights support but does not specify which internationally recognized rights.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,b.ii,no_evidence,standard,No mention of specific stakeholder categories or vulnerable groups.,[],0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,c,no_evidence,standard,No explicit mention of policy links or reasons for non-public availability.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,d,no_evidence,standard,No information on approval levels or seniority of policy commitments.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,e,pass,standard,"Policy covers all business dimensions, operations, new businesses, and global risks.","[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,f,no_evidence,standard,No description of communication methods to workers or partners.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,23,0,GRI 2,2-24,,a.i,no_evidence,standard,No explicit mention of responsibility allocation across organizational levels.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,23,0,GRI 2,2-24,,a.ii,partial,standard,Mentions alignment with strategy but lacks detail on integration into operational policies.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,23,0,GRI 2,2-24,,a.iii,no_evidence,standard,No explicit description of implementation through business relationships.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,23,0,GRI 2,2-24,,a.iv,no_evidence,standard,No mention of training programs related to policy commitments.,"[""Bangchak2024__c_0043""]",0.0,cache
a0,Bangchak2024,phase3,25,0,GRI 2,2-26,,a.i,partial,standard,"Evidence mentions stakeholder engagement methods (surveys, meetings) but does not explicitly describe mechanisms for seeking advice on implementing policies.","[""Bangchak2024__c_0055"", ""Bangchak2024__c_0058"", ""Bangchak2024__c_0050"", ""Bangchak2024__c_0054"", ""Bangchak2024__c_0064""]",0.0,cache
a0,Bangchak2024,phase3,25,0,GRI 2,2-26,,a.ii,no_evidence,standard,No explicit mention of mechanisms for raising concerns about business conduct in the evidence chunks.,[],0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,a.i,no_evidence,standard,No breakdown of non-compliance instances by fines.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,a.ii,no_evidence,standard,No breakdown of non-compliance instances by non-monetary sanctions.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,b.i,no_evidence,standard,No monetary value of fines for current period reported.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,b.ii,no_evidence,standard,No monetary value of fines for previous periods reported.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,c,no_evidence,standard,No evidence of significant non-compliance instances described.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,d,no_evidence,standard,No evidence of methodology for determining non-compliance.,"[""Bangchak2024__c_0318""]",0.0,cache
a0,Bangchak2024,phase3,27,0,GRI 2,2-28,,a,no_evidence,standard,"No evidence mentions participation in industry associations, advocacy organizations, or significant roles in such groups.","[""Bangchak2024__c_0021"", ""Bangchak2024__c_0022"", ""Bangchak2024__c_0023"", ""Bangchak2024__c_0024"", ""Bangchak2024__c_0025""]",0.0,cache
a0,Bangchak2024,phase3,28,0,GRI 2,2-29,,a.i,pass,standard,"Evidence explicitly lists 10 stakeholder categories (employees, suppliers, customers, etc.) and describes identification methods (assessing impact/influence).","[""Bangchak2024__c_0050"", ""Bangchak2024__c_0051"", ""Bangchak2024__c_0055"", ""Bangchak2024__c_0058"", ""Bangchak2024__c_0063""]",0.0,cache
a0,Bangchak2024,phase3,28,0,GRI 2,2-29,,a.ii,pass,standard,"Purpose is described as driving sustainable energy, enhancing quality of life, and aligning operations with stakeholder needs.","[""Bangchak2024__c_0050"", ""Bangchak2024__c_0054"", ""Bangchak2024__c_0055"", ""Bangchak2024__c_0058"", ""Bangchak2024__c_0065""]",0.0,cache
a0,Bangchak2024,phase3,28,0,GRI 2,2-29,,a.iii,pass,standard,"Describes regular engagement methods (surveys, meetings, feedback mechanisms) and systematic approaches to ensure meaningful participation.","[""Bangchak2024__c_0050"", ""Bangchak2024__c_0055"", ""Bangchak2024__c_0058"", ""Bangchak2024__c_0064"", ""Bangchak2024__c_0065""]",0.0,cache
a0,Bangchak2024,phase3,29,0,GRI 2,2-30,,a,no_evidence,standard,No evidence of percentage of employees covered by collective bargaining agreements.,[],0.0,cache
a0,Bangchak2024,phase3,29,0,GRI 2,2-30,,b,no_evidence,standard,No evidence on working conditions determination for non-covered employees.,[],0.0,cache
a0,Bangchak2024,phase5,0,0,GRI 3,3-1,,a.i,pass,standard,"Process includes stakeholder input, internal/external data, and alignment with GRI standards, covering economic, environmental, and social impacts (including human rights).","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0068"", ""Bangchak2024__c_0069""]",0.0,cache
a0,Bangchak2024,phase5,0,0,GRI 3,3-1,,a.ii,pass,standard,"Prioritization based on severity/likelihood, ERM alignment, and stakeholder/expert feedback is explicitly described.","[""Bangchak2024__c_0069"", ""Bangchak2024__c_0070""]",0.0,cache
a0,Bangchak2024,phase5,0,0,GRI 3,3-1,,b,no_evidence,standard,"Stakeholders and experts are mentioned generally (e.g., 'stakeholders,' 'GRI standards'), but not explicitly named or detailed.","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0069""]",0.0,cache
a0,Bangchak2024,phase5,1,0,GRI 3,3-2,,a,pass,standard,"Material topics are explicitly listed in chunks 0071 (economic/social topics), 0072 (environmental topics), and 0073 (social topics).","[""Bangchak2024__c_0071"", ""Bangchak2024__c_0072"", ""Bangchak2024__c_0073""]",0.0,cache
a0,Bangchak2024,phase5,1,0,GRI 3,3-2,,b,pass,standard,"Chunk 0073 explicitly states material topics are unchanged from 2023, fulfilling the 'changes compared to previous period' requirement.","[""Bangchak2024__c_0073""]",0.0,cache
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,a,no_evidence,standard,"No explicit description of actual/potential impacts on economy, environment, or people beyond environmental measures.","[""Bangchak2024__c_0190"", ""Bangchak2024__c_0201""]",0.0,cache
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,b,partial,standard,Mentions refinery operations as source of impacts but lacks explicit description of business relationships contributing to negative impacts.,"[""Bangchak2024__c_0190"", ""Bangchak2024__c_0201""]",0.0,cache
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,c,pass,standard,"Describes policies (ISO 14001, natural gas use, emission targets, carbon capture collaboration).","[""Bangchak2024__c_0190"", ""Bangchak2024__c_0195"", ""Bangchak2024__c_0201""]",0.0,cache
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,d.i,pass,standard,"Details preventive actions (SRU, low NOx burners, flare technology, VOC monitoring).","[""Bangchak2024__c_0190"", ""Bangchak2024__c_0192"", ""Bangchak2024__c_0201""]",0.0,cache
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,d.ii,partial,standard,Mentions zero complaints and monitoring but lacks explicit remediation actions for actual negative impacts.,"[""Bangchak2024__c_0197"", ""Bangchak2024__c_0201""]",0.0,cache
