phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,partial,2,"3-c: 13 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-12, 2-13, 2-14, 2-16, 2-23, 2-24, 2-26, 2-27, 2-28, 2-30 | 3-info: 2 requirement(s) marked reported_non_existence (item explicitly stated as non-existent in evidence)"
phase4,pass,1,"3-b-i (advisory): 2 reported material topic(s) outside GRI 11 scope — manual review required: ['Energy Accessibility & Security', 'Information technology and cybersecurity']"
phase5,partial,1,"4-x: 23 disclosure(s) partial / no_evidence: 3-1, 3-3(Air emissions), 3-3(Anti-corruption & Anti-competitive behavior), 3-3(Asset integrity and critical incident management), 3-3(Biodiversity), 3-3(Conflict and security), 3-3(Economic impacts), 3-3(Employment Practices), 3-3(Energy Accessibility & S"
phase6,fail,15,phase6: GCI row under standard 'GRI 205: Anti-corruption 2016' (mt='Anti-corruption & Anti-competitive behavior') has missing/blank disclosure_id — data error; counted as topic-level fail and the topic's expected disclosures will be reported as missing | phase6: GCI row under standard 'GRI 205: Anti
phase7,fail,1,6-a-ii: 2 omission rows have invalid reason or empty explanation (incl. 2 GRI 11 5-b strict 'Not applicable' violations)
phase8,fail,2,item vii: List of reported disclosures with disclosure IDs — missing or invalid | item viii: GRI Standard titles for reported disclosures — missing or invalid
phase9,external_verification,0,
final,fail,5,phase3 (partial): 2 findings | phase5 (partial): 1 finding | phase6 (fail): 15 findings | phase7 (fail): 1 finding | phase8 (fail): 2 findings
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
