case_id,sample_universe,human_correct_status,human_rationale,confidence,review_seconds,reviewed_at_iso,rubric_version
A014,agreement,no_evidence,,high,36.1,2026-05-12T17:15:23,v2
A016,agreement,pass,,high,32.2,2026-05-12T17:15:55,v2
A010,agreement,no_evidence,,high,32.8,2026-05-12T17:16:28,v2
A021,agreement,no_evidence,,high,31.0,2026-05-12T17:16:59,v2
A029,agreement,no_evidence,,high,40.5,2026-05-12T17:17:39,v2
A015,agreement,partial,,high,56.3,2026-05-12T17:18:36,v2
A001,agreement,no_evidence,,high,53.0,2026-05-12T17:19:29,v2
A011,agreement,partial,,high,34.3,2026-05-12T17:20:03,v2
A004,agreement,partial,,high,33.8,2026-05-12T17:20:37,v2
A030,agreement,pass,,high,32.2,2026-05-12T17:21:09,v2
A027,agreement,pass,,high,72.3,2026-05-12T17:22:21,v2
A028,agreement,pass,,high,45.5,2026-05-12T17:23:07,v2
A012,agreement,no_evidence,,high,34.8,2026-05-12T17:23:41,v2
A020,agreement,pass,,high,34.5,2026-05-12T17:24:16,v2
A013,agreement,no_evidence,,high,29.4,2026-05-12T17:24:45,v2
A024,agreement,no_evidence,,high,30.2,2026-05-12T17:25:16,v2
A002,agreement,no_evidence,,high,29.9,2026-05-12T17:25:45,v2
A009,agreement,no_evidence,,high,36.4,2026-05-12T17:26:22,v2
A008,agreement,no_evidence,,high,36.4,2026-05-12T17:26:58,v2
A006,agreement,partial,,high,41.2,2026-05-12T17:27:39,v2
A005,agreement,pass,,high,29.9,2026-05-12T17:28:09,v2
A023,agreement,no_evidence,,high,27.2,2026-05-12T17:28:37,v2
A022,agreement,no_evidence,,high,29.7,2026-05-12T17:29:06,v2
A025,agreement,no_evidence,,high,29.5,2026-05-12T17:29:36,v2
A018,agreement,pass,,high,41.2,2026-05-12T17:30:17,v2
A026,agreement,no_evidence,,high,38.4,2026-05-12T17:30:55,v2
A007,agreement,no_evidence,,high,40.8,2026-05-12T17:31:36,v2
A019,agreement,pass,,high,33.4,2026-05-12T17:32:10,v2
A017,agreement,partial,,high,36.2,2026-05-12T17:32:46,v2
A003,agreement,no_evidence,,high,32.3,2026-05-12T17:33:18,v2
