phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,fail,4,"3-c: 1 disclosure(s) failed: 2-9 | 3-c: 20 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-12, 2-13, 2-14, 2-15, 2-16, 2-17, 2-19, 2-23, 2-24, 2-25, 2-27, 2-30 | 3-info: 4 requirement(s) marked condition_not_applicable (condition explicitly negated in evi"
phase4,pass,2,"contradiction: non-material entry '11.21 Payments to governments' covers base topic 11.21, which is already a material topic (Business conduct) | 3-b-i (advisory): 1 reported material topic(s) outside GRI 11 scope — manual review required: ['Privacy']"
phase5,partial,1,"4-x: 13 disclosure(s) partial / no_evidence: 3-1, 3-2, 3-3(Asset Integrity and critical incident management), 3-3(Business conduct), 3-3(Carbon Footprint), 3-3(Climate adaptation, resilience, and transition/Innovation), 3-3(Economic impacts), 3-3(Employment practices), 3-3(Freedom of association and"
phase6,fail,4,5-a: at least one topic-standard disclosure rolled up to partial / no_evidence | 5-b-i: 6 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b-ii: 6 GRI 11 expected disclosures use a reason other than 'Not applicable' (or have an empty expl
phase7,fail,2,6-a-i: 5 expected disclosures not reported and not omitted | 6-a-ii: 7 omission rows have invalid reason or empty explanation (incl. 6 GRI 11 5-b strict 'Not applicable' violations)
phase8,pass,0,
phase9,external_verification,0,
final,fail,4,phase3 (fail): 4 findings | phase5 (partial): 1 finding | phase6 (fail): 4 findings | phase7 (fail): 2 findings
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
