phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,partial,3,"3-c: 18 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-11, 2-12, 2-13, 2-16, 2-23, 2-24, 2-26, 2-27, 2-29 | 3-info: 3 requirement(s) marked condition_not_applicable (condition explicitly negated in evidence) | 3-info: 1 requirement(s) marked reporte"
phase4,pass,4,"contradiction: non-material entry 'Air Emissions
Topic Standard Disclosure - Customer Health and Safety 2016' covers base topic 11.3, which is already a material topic (Greenhouse Gas (GHG) Emissions, Climate Resilience and Adaptation Strategy and Flaring) | contradiction: non-material entry 'Topic "
phase5,partial,1,"4-x: 20 disclosure(s) partial / no_evidence: 3-2, 3-3(Asset Integrity and Process Safety), 3-3(Biodiversity and Natural Capital), 3-3(Business Ethics and Integrity Practices), 3-3(Community Development and Partnerships and Social Risk Management), 3-3(Crisis Management & Incident Response), 3-3(Cybe"
phase6,fail,4,5-a: at least one topic-standard disclosure rolled up to partial / no_evidence | 5-b-i: 71 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b-ii: 14 GRI 11 expected disclosures use a reason other than 'Not applicable' (or have an empty ex
phase7,fail,2,6-a-i: 6 expected disclosures not reported and not omitted | 6-a-ii: 14 omission rows have invalid reason or empty explanation (incl. 14 GRI 11 5-b strict 'Not applicable' violations)
phase8,fail,1,item xi: Location of each disclosure — missing or invalid
phase9,external_verification,0,
final,fail,5,phase3 (partial): 3 findings | phase5 (partial): 1 finding | phase6 (fail): 4 findings | phase7 (fail): 2 findings | phase8 (fail): 1 finding
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
