report_id,phase,disclosure_id,material_topic,requirement_id,occurrence_idx,standard_id,a0_status,a0_decision_path,a0_rationale,a0_citations_json,a0_confidence,a0_source,a1_status,a1_decision_path,a1_rationale,a1_citations_json,a1_confidence,a1_source,a2_status,a2_decision_path,a2_rationale,a2_citations_json,a2_confidence,a2_source,v_new_status,v_new_decision_path,v_new_rationale,v_new_citations_json,v_new_confidence,v_new_source,a0_status_resolved,a1_status_resolved,a2_status_resolved,v_new_status_resolved,any_disagree_primary,any_unrecoverable_primary,any_gci_error,disagreement_pattern
Bangchak2024,phase3,2-1,__none__,b,0,GRI 2,partial,standard,"Legal form ('Public Company Limited') is mentioned in chunk 0022, but ownership details are not explicitly described.","[""Bangchak2024__c_0022""]",0.0,cache,partial,standard,"Legal form ('Public Company Limited') is stated in chunk 0022, but ownership details are absent.","[""Bangchak2024__c_0022""]",0.0,cache,pass,standard,Legal form 'Public Company Limited' is stated in chunk 0023.,"[""Bangchak2024__c_0023""]",0.0,cache,partial,standard,"Legal form 'Public Company Limited' is mentioned in chunk 0023, but ownership details are not explicitly described.","[""Bangchak2024__c_0023""]",0.0,cache,partial,partial,pass,partial,True,False,False,partial|partial|pass|partial
Bangchak2024,phase3,2-1,__none__,c,0,GRI 2,pass,standard,"Headquarters address in Bangkok, Thailand is explicitly provided in chunk 0023.","[""Bangchak2024__c_0023""]",0.0,cache,pass,standard,"Headquarters address in Bangkok, Thailand is explicitly provided in chunk 0023.","[""Bangchak2024__c_0023""]",0.0,cache,no_evidence,standard,No explicit statement of headquarters location in evidence chunks.,[],0.0,cache,no_evidence,standard,No explicit mention of headquarters location in evidence chunks.,[],0.0,cache,pass,pass,no_evidence,no_evidence,True,False,False,pass|pass|no_evidence|no_evidence
Bangchak2024,phase3,2-2,__none__,c.iii,0,GRI 2,no_evidence,standard,No discussion of scope differences across disclosures or material topics.,[],0.1,llm,partial,standard,"Surat Thani Oil Depot exclusions suggest topic-specific scope differences, but no explicit cross-disclosure approach variation is detailed.","[""Bangchak2024__c_0334""]",0.6,llm,no_evidence,standard,No mention of differences in consolidation approaches across disclosures or material topics.,[],0.0,llm,no_evidence,standard,No discussion of methodological differences across disclosures or topics.,[],0.0,llm,no_evidence,partial,no_evidence,no_evidence,True,False,False,no_evidence|partial|no_evidence|no_evidence
Bangchak2024,phase3,2-3,__none__,a,0,GRI 2,pass,standard,"The report explicitly states the reporting period as 'January 1st to December 31st, 2024' and mentions preparation since 2006, implying annual frequency.","[""Bangchak2024__c_0330""]",0.0,cache,pass,standard,"The report explicitly states the reporting period (January 1st to December 31st, 2024) and implies annual frequency (prepared since 2006).","[""Bangchak2024__c_0330""]",0.0,cache,no_evidence,standard,The report specifies the reporting period (2024) but does not explicitly state the frequency of sustainability reporting.,"[""Bangchak2024__c_0330""]",0.0,cache,partial,standard,The reporting period (2024) is specified but frequency is not explicitly stated.,"[""Bangchak2024__c_0330""]",0.0,cache,pass,pass,no_evidence,partial,True,False,False,pass|pass|no_evidence|partial
Bangchak2024,phase3,2-12,__none__,a,0,GRI 2,pass,standard,"Evidence describes the Sustainability Policy Committee (SPC) setting sustainability goals, strategies, and policies aligned with SDGs and Net Zero targets, with senior executives involved.","[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,"Evidence describes the Sustainability Policy Committee (SPC) setting sustainability goals, strategies, and policies aligned with SDGs and Net Zero targets, with senior executives involved.","[""Bangchak2024__c_0042""]",0.0,cache,partial,standard,"Mentions committees (SPC, SMC) setting sustainability goals and strategies but does not explicitly describe the highest governance body's role in developing/overriding mission statements or strategies.","[""Bangchak2024__c_0042""]",0.0,cache,no_evidence,standard,No explicit description of the highest governance body's role in developing/updating purpose/mission statements or strategies. Mentions committees but not the highest governance body itself.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,pass,partial,no_evidence,True,False,False,pass|pass|partial|no_evidence
Bangchak2024,phase3,2-12,__none__,b.i,0,GRI 2,pass,standard,"Evidence states the SPC and SMC engage with stakeholders by considering their expectations and SDGs, and regularly review sustainability assessments.","[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,"Evidence states the SPC and SMC engage with stakeholders by considering their expectations and SDGs, and regularly review sustainability assessments.","[""Bangchak2024__c_0042""]",0.0,cache,no_evidence,standard,No explicit mention of the highest governance body's role in overseeing due diligence or stakeholder engagement processes.,[],0.0,cache,no_evidence,standard,No explicit mention of the highest governance body overseeing due diligence processes or stakeholder engagement mechanisms.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,pass,no_evidence,no_evidence,True,False,False,pass|pass|no_evidence|no_evidence
Bangchak2024,phase3,2-12,__none__,b.ii,0,GRI 2,pass,standard,"Evidence describes the SPC and SMC considering outcomes of sustainability processes to set direction, strategies, and progress reports.","[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,"Evidence describes the SPC and SMC considering outcomes of sustainability processes to set direction, strategies, and progress reports.","[""Bangchak2024__c_0042""]",0.0,cache,no_evidence,standard,No explicit mention of the highest governance body considering outcomes of due diligence processes.,[],0.0,cache,no_evidence,standard,No explicit description of how the highest governance body considers outcomes of due diligence processes.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,pass,no_evidence,no_evidence,True,False,False,pass|pass|no_evidence|no_evidence
Bangchak2024,phase3,2-12,__none__,c,0,GRI 2,pass,standard,Evidence explicitly states meetings are held at least twice a year to review sustainability assessments and progress.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,Evidence explicitly states meetings are held at least twice a year to review sustainability assessments and progress.,"[""Bangchak2024__c_0042""]",0.0,cache,no_evidence,standard,No explicit mention of the highest governance body reviewing processes described in 2-12-b or reporting review frequency.,[],0.0,cache,no_evidence,standard,No explicit mention of the highest governance body reviewing effectiveness of processes described in 2-12-b or reporting review frequency.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,pass,no_evidence,no_evidence,True,False,False,pass|pass|no_evidence|no_evidence
Bangchak2024,phase3,2-13,__none__,a.i,0,GRI 2,pass,standard,"The report explicitly describes the Sustainability Policy Committee (SPC) chaired by the Group CEO, indicating senior executives are appointed with responsibility for sustainability management.","[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,"The report explicitly describes the Sustainability Policy Committee (SPC) chaired by the Group CEO, indicating senior executives are appointed with responsibility for sustainability management.","[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,The report explicitly describes delegation to senior executives (SPC chaired by CEO) and functional group managers (SMC).,"[""Bangchak2024__c_0042""]",0.0,cache,partial,standard,Mentions SPC chaired by CEO and business group executives but does not explicitly state delegation from highest governance body.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,pass,pass,partial,True,False,False,pass|pass|pass|partial
Bangchak2024,phase3,2-13,__none__,a.ii,0,GRI 2,partial,standard,The report mentions the Sustainability Management Committee (SMC) coordinates with committees but does not explicitly clarify if responsibility is delegated to non-senior employees.,"[""Bangchak2024__c_0042""]",0.0,cache,partial,standard,The report mentions the Sustainability Management Committee (SMC) coordinates with committees but does not explicitly clarify if responsibility is delegated to non-senior employees.,"[""Bangchak2024__c_0042""]",0.0,cache,pass,standard,The report describes delegation to functional group managers via the Sustainability Management Committee (SMC).,"[""Bangchak2024__c_0042""]",0.0,cache,no_evidence,standard,No explicit description of delegation to other employees beyond committees.,[],0.0,cache,partial,partial,pass,no_evidence,True,False,False,partial|partial|pass|no_evidence
