case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta,bucket
D045,disagreement,Mubadala2024,phase5,GRI 3,3-3,GHG & Other Air Emissions,f,0,partial,standard,Evidence mentions stakeholder engagement in materiality assessment but lacks explicit linkage to actions taken or their effectiveness for GHG emissions.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0058""]",partial,standard,Evidence mentions stakeholder discussion to prioritize issues (chunk 0057) but lacks explicit linkage to effectiveness evaluation of actions.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0059""]",no_evidence,standard,No evidence explicitly describes stakeholder engagement informing action effectiveness for GHG emissions. Chunks mention stakeholder input in materiality assessment but not effectiveness tracking.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0058""]",partial,standard,Evidence mentions stakeholder engagement in prioritizing issues (Mubadala2024__c_0057) but lacks details on how it informed action effectiveness.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0059""]",1v3,phase5_3-3
D098,disagreement,OKQ82023,phase5,GRI 3,3-3,Employment,d.i,0,pass,standard,"Actions include safety measures, training programs, EHS team, and leadership development to prevent/mitigate negative impacts.","[""OKQ82023__c_0088"", ""OKQ82023__c_0092"", ""OKQ82023__c_0093"", ""OKQ82023__c_0100"", ""OKQ82023__c_0140""]",pass,standard,"Preventive actions include EHS system, safety walks, risk assessments, and training programs.","[""OKQ82023__c_0157"", ""OKQ82023__c_0159"", ""OKQ82023__c_0155"", ""OKQ82023__c_0093"", ""OKQ82023__c_0088""]",partial,standard,"Mentions of safety measures (chunk 0092) and work environment improvements (chunk 0099) suggest actions to prevent/mitigate impacts, but lack explicit linkage to Employment.","[""OKQ82023__c_0092"", ""OKQ82023__c_0099""]",pass,standard,"Actions like Ethics Council, EHS system, and safety walks mitigate employment-related risks.","[""OKQ82023__c_0143"", ""OKQ82023__c_0157"", ""OKQ82023__c_0159"", ""OKQ82023__c_0099"", ""OKQ82023__c_0141""]",1v3,phase5_3-3
D086,disagreement,OKQ82024,phase5,GRI 3,3-3,Supplier environmental assessment,d.iii,0,pass,standard,"Actions include promoting sustainable choices, circular solutions, and transparency as positive impacts management strategies.","[""OKQ82024__c_0060"", ""OKQ82024__c_0059"", ""OKQ82024__c_0130"", ""OKQ82024__c_0131"", ""OKQ82024__c_0134""]",pass,standard,"Describes positive impacts (e.g., biofuels from waste, circular solutions).","[""OKQ82024__c_0134"", ""OKQ82024__c_0060"", ""OKQ82024__c_0133"", ""OKQ82024__c_0061"", ""OKQ82024__c_0139""]",no_evidence,standard,No evidence describes actions to manage positive impacts related to supplier environmental assessment.,[],no_evidence,standard,No evidence describes actions to manage positive impacts related to supplier environmental assessment.,[],2v2,phase5_3-3
D004,disagreement,OKQ82023,phase3,GRI 2,2-11,__none__,b,0,no_evidence,standard,"No evidence explains the chair's function, reasons for dual role, or conflict mitigation mechanisms despite the conditional requirement being met.",[],no_evidence,standard,"No evidence explains the chair's management function, reasons for dual role, or conflict mitigation mechanisms.",[],no_evidence,standard,"No chunks explain the Chair's function, reasons for the arrangement, or conflict mitigation mechanisms.",[],pass,condition_not_applicable,Condition not met: No explicit confirmation that the chair is currently a senior executive. Temporary role in 2023 does not satisfy the condition.,"[""OKQ82023__c_0132""]",1v3,phase3
D024,disagreement,Bunduq2023,phase3,GRI 2,2-16,__none__,a,0,partial,standard,The report describes grievance channels and CEO involvement but does not explicitly state communication to the highest governance body.,"[""Bunduq2023__c_0100""]",partial,standard,The report describes grievance channels and CEO involvement but does not explicitly state communication to the highest governance body.,"[""Bunduq2023__c_0100""]",no_evidence,standard,No explicit description of communication to the highest governance body; mentions CEO involvement but not governance body.,"[""Bunduq2023__c_0100""]",no_evidence,standard,No explicit description of communication to the highest governance body; mentions CEO involvement but not governance body.,"[""Bunduq2023__c_0100""]",2v2,phase3
D108,disagreement,Energean2024,phase6,GRI 305: Emissions 2016,305-7,Pollution,c,0,no_evidence,standard,"No explicit mention of standards/methodologies for NOx/SOx calculations in evidence. References to general monitoring practices and other emission types (VOCs, methane) do not satisfy the requirement.","[""Energean2024__c_0150"", ""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0232""]",no_evidence,standard,"No explicit mention of standards/methodologies for calculating NOx/SOx emissions. General references to IPCC, GHG Protocol apply to broader emissions, not specifically to NOx/SOx.","[""Energean2024__c_0150"", ""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0149"", ""Energean2024__c_0232""]",pass,standard,"Evidence explicitly describes methodologies (IPCC, Concawe, EPA, GHG protocol) used for emissions calculations.","[""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0232""]",partial,standard,"SOx emissions are reported (60% increase), but NOx is incorrectly referred to as N2O (nitrous oxide) instead of NOx. No explicit mention of NOx emissions.","[""Energean2024__c_0150""]",3stat,phase6
D074,disagreement,OKQ82023,phase5,GRI 3,3-3,Biodiversity,e.i,0,partial,standard,"References testing methods (e.g., passive flora growth) but does not explicitly describe formal processes for tracking effectiveness.","[""OKQ82023__c_0083"", ""OKQ82023__c_0084""]",no_evidence,standard,No explicit processes for tracking biodiversity action effectiveness are described.,[],partial,standard,"Mentions testing methods (e.g., passive flora growth) but lacks detailed processes for tracking effectiveness.","[""OKQ82023__c_0083"", ""OKQ82023__c_0084""]",no_evidence,standard,No explicit description of processes used to track effectiveness of biodiversity-related actions.,[],2v2,phase5_3-3
D125,disagreement,HPCL2024,phase6,GRI 306: Waste 2020,306-2,Biodiversity (GRI OGSS Topic: Biodiversity),a.iv,0,no_evidence,standard,No explicit mention of recovery or energy recovery for hazardous waste.,"[""HPCL2024__c_0165"", ""HPCL2024__c_0166""]",pass,standard,Mechanical recovery of oily sludge is reported in chunk 0166.,"[""HPCL2024__c_0166""]",no_evidence,standard,No evidence of recovery (including energy recovery) in provided chunks.,[],pass,standard,Mechanical recovery of oily sludge (hazardous waste) reported in chunk 0166.,"[""HPCL2024__c_0166""]",2v2,phase6
D077,disagreement,Desfa2023,phase5,GRI 3,3-3,Employment practices,e.iv,0,partial,standard,"Mentions inefficiencies in training evaluation and plans to repeat surveys, indicating some lessons learned.","[""Desfa2023__c_0139"", ""Desfa2023__c_0144"", ""Desfa2023__c_0153"", ""Desfa2023__c_0154"", ""Desfa2023__c_0155""]",partial,standard,Mentions inefficiencies in training evaluation but does not explicitly describe lessons learned or policy updates.,"[""Desfa2023__c_0139"", ""Desfa2023__c_0146"", ""Desfa2023__c_0153"", ""Desfa2023__c_0142"", ""Desfa2023__c_0140""]",pass,standard,"Inefficiencies in training evaluation and planned survey repetition show lessons learned (chunk 0139, 0144).","[""Desfa2023__c_0139"", ""Desfa2023__c_0144""]",no_evidence,standard,No explicit mention of lessons learned being incorporated into operational policies or procedures.,"[""Desfa2023__c_0146"", ""Desfa2023__c_0144""]",3stat,phase5_3-3
D069,disagreement,Bapco2024,phase5,GRI 3,3-3,Cybersecurity & Data Privacy,d.i,0,pass,standard,Mentions DEFEND program and training to prevent/mitigate cyber threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and training to prevent/mitigate cyber threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and cybersecurity awareness training to prevent/mitigate threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and cybersecurity awareness training to prevent/mitigate threats.,"[""Bapco2024__c_0100""]",all_agree,phase5_3-3
D097,disagreement,OKQ82024,phase5,GRI 3,3-3,Occupational health and safety,e.ii,0,no_evidence,standard,"Metrics like safety walks and lost workday cases are reported but not tied to specific goals, targets, or indicators.",[],no_evidence,standard,"No specific goals, targets, or indicators for OHS effectiveness are reported.",[],no_evidence,standard,"No explicit goals, targets, or indicators for evaluating occupational health and safety progress are reported.",[],partial,standard,Metrics like lost workday cases and safety walks are mentioned but no explicit goals/targets.,"[""OKQ82024__c_0075"", ""OKQ82024__c_0140""]",1v3,phase5_3-3
D064,disagreement,Mubadala2023,phase5,GRI 3,3-3,Climate Change & Energy Transition,e.ii,0,partial,standard,"References alignment with Net Zero targets and emissions reduction, but no specific goals, targets, or indicators are quantified.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0036""]",pass,standard,References alignment with UAE's Net Zero 2050 target and reducing GHG emissions in line with international standards as goals.,"[""Mubadala2023__c_0033""]",no_evidence,standard,"No evidence of goals, targets, or indicators used to evaluate progress on Climate Change & Energy Transition.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0034"", ""Mubadala2023__c_0035"", ""Mubadala2023__c_0036""]",no_evidence,standard,"No evidence specifies goals, targets, or indicators used to evaluate progress for Climate Change & Energy Transition.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0034"", ""Mubadala2023__c_0035"", ""Mubadala2023__c_0036""]",3stat,phase5_3-3
D007,disagreement,Bapco2023,phase3,GRI 2,2-9,__none__,a,0,partial,standard,Describes Board structure and ESG focus but lacks details on committees of the highest governance body.,"[""Bapco2023__c_0084""]",partial,standard,Describes Board structure and ESG focus but lacks details on committees of the highest governance body.,"[""Bapco2023__c_0084""]",no_evidence,standard,No explicit description of governance structure or committees of the highest governance body.,"[""Bapco2023__c_0084""]",partial,standard,Evidence describes the Board of Directors' structure and function but does not explicitly list committees of the highest governance body.,"[""Bapco2023__c_0084""]",1v3,phase3
D133,disagreement,Mubadala2024,phase6,GRI 305: Emissions 2016,305-7,GHG & Other Air Emissions,a.iv,0,no_evidence,standard,No verdict produced.,[],no_evidence,standard,No verdict produced.,[],pass,standard,VOC emissions of 177.5 tons explicitly reported.,"[""Mubadala2024__c_0070""]",pass,standard,VOC emissions of 177.5 tons explicitly reported.,"[""Mubadala2024__c_0070""]",2v2,phase6
D078,disagreement,HPCL2023,phase5,GRI 3,3-3,Supplier Environmental Assessment (GRI: Supplier Environmental Assessment 2016),d.i,0,pass,standard,Vendor development programs and procurement transparency initiatives are described as preventive measures.,"[""HPCL2023__c_0056""]",partial,standard,Mentions supplier compliance with environmental standards but lacks specifics on preventing/mitigating potential negative impacts.,"[""HPCL2023__c_0057""]",no_evidence,standard,No evidence of actions to prevent/mitigate potential negative environmental impacts from suppliers.,[],no_evidence,standard,No actions to prevent/mitigate potential negative impacts related to Supplier Environmental Assessment are described.,[],3stat,phase5_3-3
D053,disagreement,Energean2024,phase5,GRI 3,3-3,Water and marine resources,d.iii,0,pass,standard,"Describes positive impacts of desalination (e.g., environmental preservation, operational efficiency) for water and marine resources.","[""Energean2024__c_0159""]",pass,standard,Describes desalination benefits as positive impacts on sustainability.,"[""Energean2024__c_0159""]",pass,standard,"Describes desalination benefits, including ecosystem preservation and water quality consistency.","[""Energean2024__c_0159""]",pass,standard,"Describes desalination benefits (ecosystem preservation, operational efficiency) as positive impact management.","[""Energean2024__c_0159""]",all_agree,phase5_3-3
