phase,status,n_findings,notes
phase1,pass,1,Sector standard 'GRI 11 Sector Standards applied to OQ' not supported by Module 3 — Phase 4 base-topic reconciliation will be skipped
phase2,external_verification,0,
phase3,partial,2,"3-c: 27 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-15, 2-16, 2-17, 2-18, 2-19, 2-20, 2-22, 2-23, 2-24, 2-25, 2-26, 2-27, 2-28, 2-29 | 3-info: 5 requirement(s) marked condition_not_applicable (condition explicitly negated "
phase4,pass,1,GRI 11 not in sector_standards — base-topic reconciliation (3-b-i) skipped
phase5,fail,4,"4-x: 24 disclosure(s) partial / no_evidence: 3-1, 3-2, 3-3(Agility, Innovation, & Digital Transformation), 3-3(Asset Integrity & Critical Incident Management), 3-3(Biodiversity), 3-3(Business Ethics & Anti-corruption), 3-3(Business Ethics & Anti-corruption), 3-3(Climate Change & Energy Transition), "
phase6,fail,3,5-a: at least one topic-standard disclosure rolled up to partial / no_evidence | 5-b-i: 10 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b (advisory): GRI 11 expected-disclosure reconcile skipped for 10 material topic(s) with no GRI 11
phase7,fail,2,6-a-i: 9 expected disclosures not reported and not omitted | 6-a-ii: 1 omission rows have invalid reason or empty explanation
phase8,fail,3,item x: Sector reference numbers (gri_sector_standard_ref_no) — missing or invalid | item xi: Location of each disclosure — missing or invalid | item xii: Reasons for omission — missing or invalid
phase9,external_verification,0,
final,fail,5,phase3 (partial): 2 findings | phase5 (fail): 4 findings | phase6 (fail): 3 findings | phase7 (fail): 2 findings | phase8 (fail): 3 findings
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
