case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,consensus_status,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
A001,agreement,Mubadala2024,phase3,GRI 2,2-10,__none__,b.ii,0,no_evidence,no_evidence,standard,No mention of diversity criteria in selection processes.,"[""Mubadala2024__c_0113"", ""Mubadala2024__c_0114""]",no_evidence,standard,No explicit mention of diversity criteria in selection processes.,"[""Mubadala2024__c_0110"", ""Mubadala2024__c_0112"", ""Mubadala2024__c_0113"", ""Mubadala2024__c_0115"", ""Mubadala2024__c_0114""]",no_evidence,standard,No explicit mention of diversity criteria in selection processes.,"[""Mubadala2024__c_0109"", ""Mubadala2024__c_0114"", ""Mubadala2024__c_0115""]",no_evidence,standard,No explicit mention of diversity criteria in selection processes.,"[""Mubadala2024__c_0110"", ""Mubadala2024__c_0115"", ""Mubadala2024__c_0114"", ""Mubadala2024__c_0113"", ""Mubadala2024__c_0112""]",all_agree
A002,agreement,Mubadala2023,phase3,GRI 2,2-9,__none__,c.v,0,no_evidence,no_evidence,standard,No evidence on gender composition of governance bodies or committees.,[],no_evidence,standard,No evidence on gender composition of governance bodies or committees.,[],no_evidence,standard,No evidence describes gender composition of governance bodies.,"[""Mubadala2023__c_0105""]",no_evidence,standard,No evidence describes gender composition of governance bodies.,"[""Mubadala2023__c_0105""]",all_agree
A003,agreement,Mubadala2023,phase3,GRI 2,2-10,__none__,b.iii,0,no_evidence,no_evidence,standard,No mention of independence criteria for governance body members.,"[""Mubadala2023__c_0105""]",no_evidence,standard,No mention of independence criteria for governance body members.,"[""Mubadala2023__c_0105""]",no_evidence,standard,No mention of independence criteria for governance body member selection.,"[""Mubadala2023__c_0105""]",no_evidence,standard,No mention of independence criteria for governance body member selection.,"[""Mubadala2023__c_0105""]",all_agree
A004,agreement,Bangchak2024,phase3,GRI 2,2-24,__none__,a.ii,0,partial,partial,standard,Mentions alignment with strategy but lacks detail on integration into operational policies.,"[""Bangchak2024__c_0043""]",partial,standard,Mentions alignment with strategy but lacks detail on integration into operational policies.,"[""Bangchak2024__c_0043""]",partial,standard,Mentions alignment with strategy but lacks detail on operational policies/procedures.,"[""Bangchak2024__c_0043""]",partial,standard,Mentions alignment with strategy but lacks detail on operational policies/procedures.,"[""Bangchak2024__c_0043""]",all_agree
A005,agreement,IslandOil2024,phase3,GRI 2,2-17,__none__,a,0,pass,pass,standard,"The report explicitly describes a 2024 training session for the Board on sustainable development, directly addressing measures to advance collective knowledge.","[""IslandOil2024__c_0145""]",pass,standard,"The report explicitly describes a 2024 training session for the Board on sustainable development, directly addressing measures to advance collective knowledge.","[""IslandOil2024__c_0145""]",pass,standard,"The report explicitly describes a 2024 training session for the Board on sustainable development, directly addressing measures to advance collective knowledge.","[""IslandOil2024__c_0145""]",pass,standard,"The report explicitly describes a 2024 training session for the Board on sustainable development, directly addressing measures to advance collective knowledge.","[""IslandOil2024__c_0145""]",all_agree
A006,agreement,IslandOil2024,phase3,GRI 2,2-12,__none__,c,0,pass,pass,standard,Board reviews annual internal audit (frequency: annually) to assess process effectiveness.,"[""IslandOil2024__c_0143""]",pass,standard,Board reviews annual internal audit (frequency: annually) to assess process effectiveness.,"[""IslandOil2024__c_0143""]",pass,standard,"Chunk describes the Board's review of the annual internal audit, implying an annual frequency for this review.","[""IslandOil2024__c_0143""]",pass,standard,"Chunk describes the Board's review of the annual internal audit, implying an annual frequency for this review.","[""IslandOil2024__c_0143""]",all_agree
A007,agreement,Mubadala2024,phase5,GRI 3,3-3,Employment Practices,d.ii,0,no_evidence,no_evidence,standard,No explicit mention of addressing actual negative impacts or remediation efforts.,"[""Mubadala2024__c_0085"", ""Mubadala2024__c_0086"", ""Mubadala2024__c_0088"", ""Mubadala2024__c_0089"", ""Mubadala2024__c_0090""]",no_evidence,standard,No explicit description of actions to address actual negative impacts or remediation efforts related to Employment Practices.,"[""Mubadala2024__c_0085"", ""Mubadala2024__c_0089""]",no_evidence,standard,No explicit description of actions to address actual negative impacts.,[],partial,standard,"Policies against discrimination and employee engagement initiatives imply addressing negative impacts, but no explicit remediation actions are detailed.","[""Mubadala2024__c_0085""]",1v3
A008,agreement,Bapco2023,phase5,GRI 3,3-3,Corporate Governance & Compliance,e.ii,0,no_evidence,no_evidence,standard,"No specific goals, targets, or indicators for evaluating governance/compliance actions are reported.","[""Bapco2023__c_0083"", ""Bapco2023__c_0084""]",no_evidence,standard,"No specific goals, targets, or indicators for evaluating governance/compliance actions are reported.","[""Bapco2023__c_0083"", ""Bapco2023__c_0084""]",no_evidence,standard,"No goals, targets, or indicators for evaluating progress reported.","[""Bapco2023__c_0083"", ""Bapco2023__c_0084""]",no_evidence,standard,"No goals, targets, or indicators for evaluating progress reported.","[""Bapco2023__c_0083"", ""Bapco2023__c_0084""]",all_agree
A009,agreement,OKQ82024,phase5,GRI 3,3-3,Labour/management relations,e.i,0,no_evidence,no_evidence,standard,No evidence explicitly describes processes used to track effectiveness of actions related to Labour/management relations.,[],no_evidence,standard,No evidence explicitly describes processes used to track effectiveness of actions related to Labour/management relations.,[],no_evidence,standard,No evidence describes processes used to track effectiveness of actions related to 'Labour/management relations'.,"[""OKQ82024__c_0155"", ""OKQ82024__c_0156""]",no_evidence,standard,No evidence details processes used to track effectiveness of actions related to 'Labour/management relations'.,"[""OKQ82024__c_0155"", ""OKQ82024__c_0156""]",all_agree
A010,agreement,OKQ82023,phase5,GRI 3,3-3,Freedom of association and collective bargaining,a,0,no_evidence,no_evidence,standard,No explicit description of impacts on freedom of association or collective bargaining.,[],no_evidence,standard,No evidence directly addresses impacts on freedom of association or collective bargaining.,[],no_evidence,standard,No evidence describes impacts on freedom of association or collective bargaining.,[],no_evidence,standard,No evidence describes impacts on freedom of association or collective bargaining.,"[""OKQ82023__c_0088"", ""OKQ82023__c_0071"", ""OKQ82023__c_0070"", ""OKQ82023__c_0073"", ""OKQ82023__c_0099""]",all_agree
