phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,fail,2,"3-c: 1 disclosure(s) failed: 2-2 | 3-c: 25 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15, 2-16, 2-17, 2-18, 2-22, 2-23, 2-24, 2-25, 2-26, 2-27, 2-28, 2-29"
phase4,pass,2,"contradiction: non-material entry 'Air Emissions' covers base topic 11.3, which is already a material topic (Emissions & Climate Action) | 3-b-i (advisory): 7 reported material topic(s) outside GRI 11 scope — manual review required: ['Corporate Governance & Compliance', 'Cybersecurity & Data Privacy"
phase5,partial,1,"4-x: 19 disclosure(s) partial / no_evidence: 3-1, 3-2, 3-3(Anti-corruption, Business Ethics & Transparency), 3-3(Biodiversity and landscape), 3-3(Corporate Governance & Compliance), 3-3(Cybersecurity & Data Privacy), 3-3(Diversity, Inclusion & Equal Opportunity), 3-3(Economic Performance), 3-3(Emiss"
phase6,fail,4,5-a: at least one topic-standard disclosure has a failing requirement (or an unrecoverable system error / unsupported location) | 5-b-i: 8 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b-ii: 7 GRI 11 expected disclosures use a reason o
phase7,fail,1,6-a-ii: 7 omission rows have invalid reason or empty explanation (incl. 7 GRI 11 5-b strict 'Not applicable' violations)
phase8,pass,0,
phase9,external_verification,0,
final,fail,4,phase3 (fail): 2 findings | phase5 (partial): 1 finding | phase6 (fail): 4 findings | phase7 (fail): 1 finding
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
