case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
D001,disagreement,OKQ82024,phase3,GRI 2,2-1,__none__,d,0,pass,standard,"Countries of operation (Sweden, Denmark) are explicitly stated in chunk 0008.","[""OKQ82024__c_0008""]",pass,standard,"Countries of operation (Denmark, Sweden) explicitly mentioned in chunks.","[""OKQ82024__c_0008"", ""OKQ82024__c_0162""]",pass,standard,"Countries of operation (Denmark, Sweden) explicitly mentioned in chunks 0008 and 0162.","[""OKQ82024__c_0008"", ""OKQ82024__c_0162""]",partial,standard,"Mentions operations in Denmark and Sweden, but not all countries of operation.","[""OKQ82024__c_0008""]",1v3
D002,disagreement,OKQ82023,phase3,GRI 2,2-25,__none__,c,0,pass,standard,Processes for remediation include external surveys (chunk 0154) and annual decontamination cost provisions (chunk 0154).,"[""OKQ82023__c_0154""]",pass,standard,"Describes EHS system, spill management, and risk assessments as remediation processes (chunk 0157, 0156).","[""OKQ82023__c_0157"", ""OKQ82023__c_0156"", ""OKQ82023__c_0155"", ""OKQ82023__c_0160"", ""OKQ82023__c_0158""]",partial,standard,"References internal audits (chunk 0146) and remediation processes (chunk 0156), but lacks explicit description of 'other processes' beyond these.","[""OKQ82023__c_0146"", ""OKQ82023__c_0156""]",pass,standard,"Describes spill remediation, EHS system, and safety protocols as processes for remediation.","[""OKQ82023__c_0156"", ""OKQ82023__c_0157"", ""OKQ82023__c_0155"", ""OKQ82023__c_0159"", ""OKQ82023__c_0146""]",1v3
D003,disagreement,OKQ82023,phase3,GRI 2,2-7,__none__,c.i,0,no_evidence,standard,No explicit description of methodologies (head count/FTE) used for employee data compilation.,[],partial,standard,Mentions 'average length of employment' but not head count/FTE methodology.,"[""OKQ82023__c_0172""]",no_evidence,standard,"No evidence explicitly describes methodologies or assumptions for compiling employee data (e.g., head count vs. FTE).",[],no_evidence,standard,"No explicit description of methodologies (head count, FTE, etc.) for compiling employee data is provided.","[""OKQ82023__c_0172"", ""OKQ82023__c_0099"", ""OKQ82023__c_0098"", ""OKQ82023__c_0095"", ""OKQ82023__c_0097""]",1v3
D004,disagreement,OKQ82023,phase3,GRI 2,2-11,__none__,b,0,no_evidence,standard,"No evidence explains the chair's function, reasons for dual role, or conflict mitigation mechanisms despite the conditional requirement being met.",[],no_evidence,standard,"No evidence explains the chair's management function, reasons for dual role, or conflict mitigation mechanisms.",[],no_evidence,standard,"No chunks explain the Chair's function, reasons for the arrangement, or conflict mitigation mechanisms.",[],pass,condition_not_applicable,Condition not met: No explicit confirmation that the chair is currently a senior executive. Temporary role in 2023 does not satisfy the condition.,"[""OKQ82023__c_0132""]",1v3
D005,disagreement,HPCL2024,phase3,GRI 2,2-25,__none__,c,0,partial,standard,"References ERM frameworks and materiality assessments, which may relate to remediation but are not explicitly described as such.","[""HPCL2024__c_0103"", ""HPCL2024__c_0335"", ""HPCL2024__c_0363"", ""HPCL2024__c_0364"", ""HPCL2024__c_0316""]",no_evidence,standard,No explicit description of remediation processes beyond risk management and anti-corruption frameworks.,[],no_evidence,standard,No description of additional remediation processes beyond stakeholder engagement.,"[""HPCL2024__c_0095"", ""HPCL2024__c_0096"", ""HPCL2024__c_0299"", ""HPCL2024__c_0316"", ""HPCL2024__c_0330""]",no_evidence,standard,No explicit description of other remediation processes beyond general risk management.,"[""HPCL2024__c_0300"", ""HPCL2024__c_0330"", ""HPCL2024__c_0096"", ""HPCL2024__c_0336"", ""HPCL2024__c_0327""]",1v3
D006,disagreement,Bapco2023,phase3,GRI 2,2-25,__none__,e,0,no_evidence,standard,No mention of tracking effectiveness of remediation processes or stakeholder feedback.,[],no_evidence,standard,No explicit tracking of grievance mechanism effectiveness or stakeholder feedback examples.,[],partial,standard,References tracking progress but lacks explicit examples of effectiveness or stakeholder feedback.,"[""Bapco2023__c_0029""]",no_evidence,standard,No explicit description of tracking effectiveness or reporting examples of remediation processes.,"[""Bapco2023__c_0026"", ""Bapco2023__c_0029""]",1v3
D007,disagreement,Bapco2023,phase3,GRI 2,2-9,__none__,a,0,partial,standard,Describes Board structure and ESG focus but lacks details on committees of the highest governance body.,"[""Bapco2023__c_0084""]",partial,standard,Describes Board structure and ESG focus but lacks details on committees of the highest governance body.,"[""Bapco2023__c_0084""]",no_evidence,standard,No explicit description of governance structure or committees of the highest governance body.,"[""Bapco2023__c_0084""]",partial,standard,Evidence describes the Board of Directors' structure and function but does not explicitly list committees of the highest governance body.,"[""Bapco2023__c_0084""]",1v3
D008,disagreement,HPCL2024,phase3,GRI 2,2-16,__none__,a,0,no_evidence,standard,No evidence describes communication of critical concerns to the highest governance body.,"[""HPCL2024__c_0103"", ""HPCL2024__c_0327"", ""HPCL2024__c_0328"", ""HPCL2024__c_0329"", ""HPCL2024__c_0330""]",partial,standard,"Evidence mentions anti-corruption policies communicated to governance levels (chunk 0327, 0329), but no explicit description of critical concerns being communicated to the highest governance body.","[""HPCL2024__c_0327"", ""HPCL2024__c_0329""]",no_evidence,standard,No evidence describes communication of critical concerns to the highest governance body.,[],no_evidence,standard,"No explicit description of critical concerns communicated to the highest governance body. Policies and procedures are mentioned, but not concerns.","[""HPCL2024__c_0327"", ""HPCL2024__c_0329"", ""HPCL2024__c_0328"", ""HPCL2024__c_0330""]",1v3
D009,disagreement,HPCL2023,phase3,GRI 2,2-8,__none__,a.i,0,partial,standard,"Describes contract workforce types (fixed-term, project associates) but lacks total numbers.","[""HPCL2023__c_0236""]",partial,standard,Mentions contract workforce types but lacks total numbers.,"[""HPCL2023__c_0236""]",no_evidence,standard,No evidence of total numbers or worker types for non-employee workers.,"[""HPCL2023__c_0236""]",no_evidence,standard,"No explicit total number of non-employee workers reported, though contract workforce types are mentioned.","[""HPCL2023__c_0236""]",2v2
D010,disagreement,Bangchak2025,phase3,GRI 2,2-5,__none__,b.ii,0,pass,standard,"Details on assured information, standards (AAIOOOAS v3, ISAE 3410), assurance levels, and limitations are explicitly described.","[""Bangchak2025__c_0381"", ""Bangchak2025__c_0385"", ""Bangchak2025__c_0387""]",pass,standard,"Specifies assured topics (energy/GHG data), standards (ISAE 3000/3410), assurance levels, and limitations (chunk 0385).","[""Bangchak2025__c_0385"", ""Bangchak2025__c_0387"", ""Bangchak2025__c_0383"", ""Bangchak2025__c_0381"", ""Bangchak2025__c_0384""]",pass,standard,"Details on assured topics, standards (AAIOOOAS v3, ISAE 3000), and assurance levels are explicitly described.","[""Bangchak2025__c_0381"", ""Bangchak2025__c_0383"", ""Bangchak2025__c_0384"", ""Bangchak2025__c_0385"", ""Bangchak2025__c_0387""]",partial,standard,"Partially describes assured topics (GRI 302-1, 305-1, etc.) and standards (ISAE 3000, 3410), but lacks full detail on limitations.","[""Bangchak2025__c_0387"", ""Bangchak2025__c_0383""]",1v3
D011,disagreement,OKQ82024,phase3,GRI 2,2-4,__none__,a.i,0,no_evidence,standard,No evidence of restatements or explanations for them in the chunks.,[],pass,standard,"The report explicitly corrects a calculation error in lost workday cases severity data from 2022-2023, explaining the reason (error) and effect (correction).","[""OKQ82024__c_0159""]",no_evidence,standard,No evidence of restatements from previous periods or explanations for them in the chunks.,[],no_evidence,standard,No evidence of restatements from previous periods or explanations for them in the chunks.,"[""OKQ82024__c_0159"", ""OKQ82024__c_0152"", ""OKQ82024__c_0151"", ""OKQ82024__c_0158"", ""OKQ82024__c_0161""]",1v3
D012,disagreement,Mubadala2024,phase3,GRI 2,2-23,__none__,a.ii,0,no_evidence,standard,No explicit statement about due diligence stipulations in policy commitments.,"[""Mubadala2024__c_0066"", ""Mubadala2024__c_0067""]",pass,standard,Policy stipulates due diligence via Business Partner Due Diligence Policy and anti-corruption risk assessments.,"[""Mubadala2024__c_0123"", ""Mubadala2024__c_0086"", ""Mubadala2024__c_0066"", ""Mubadala2024__c_0122"", ""Mubadala2024__c_0085""]",no_evidence,standard,No explicit mention of due diligence stipulations in policy commitments.,"[""Mubadala2024__c_0066"", ""Mubadala2024__c_0067""]",no_evidence,standard,No explicit reference to due diligence in policy commitments.,[],1v3
D013,disagreement,Bangchak2024,phase3,GRI 2,2-2,__none__,c.iii,0,no_evidence,standard,No discussion of scope differences across disclosures or material topics.,[],partial,standard,"Surat Thani Oil Depot exclusions suggest topic-specific scope differences, but no explicit cross-disclosure approach variation is detailed.","[""Bangchak2024__c_0334""]",no_evidence,standard,No mention of differences in consolidation approaches across disclosures or material topics.,[],no_evidence,standard,No discussion of methodological differences across disclosures or topics.,[],1v3
D014,disagreement,OKQ82023,phase3,GRI 2,2-11,__none__,a,0,pass,standard,"Chunk 0132 explicitly states the Chair of the Board temporarily assumed CEO responsibilities in 2023, confirming the chair is a senior executive.","[""OKQ82023__c_0132""]",pass,standard,"Chunk 0132 explicitly states the Chair of the Board temporarily assumed the CEO role in 2023, confirming the chair is a senior executive.","[""OKQ82023__c_0132""]",pass,standard,"Chunk 0132 explicitly states the Chair of the Board temporarily assumed the CEO role, indicating they are a senior executive.","[""OKQ82023__c_0132""]",no_evidence,standard,No explicit statement confirms whether the chair is a senior executive. Temporary CEO role in 2023 does not clarify current status.,"[""OKQ82023__c_0132""]",1v3
D015,disagreement,Bangchak2024,phase3,GRI 2,2-23,__none__,b.i,0,partial,standard,References human rights support but does not specify which internationally recognized rights.,"[""Bangchak2024__c_0043""]",partial,standard,References human rights support but does not specify which internationally recognized rights.,"[""Bangchak2024__c_0043""]",no_evidence,standard,No specific human rights covered are listed in the policy commitment.,[],no_evidence,standard,No specific internationally recognized human rights are listed in the commitment.,[],2v2
D016,disagreement,Mubadala2023,phase3,GRI 2,2-24,__none__,a.i,0,partial,standard,Mentions QHSSE Policy and OMS/EMS frameworks but lacks explicit allocation of responsibilities across organizational levels.,"[""Mubadala2023__c_0036"", ""Mubadala2023__c_0048"", ""Mubadala2023__c_0063""]",partial,standard,Mentions commitment embedded in DNA and strategic pillars but lacks explicit allocation of responsibility across organizational levels.,"[""Mubadala2023__c_0063"", ""Mubadala2023__c_0033""]",no_evidence,standard,No explicit description of how policy commitments are allocated across organizational levels. Policies exist but implementation structure is not detailed.,"[""Mubadala2023__c_0032"", ""Mubadala2023__c_0033"", ""Mubadala2023__c_0036"", ""Mubadala2023__c_0048"", ""Mubadala2023__c_0063""]",no_evidence,standard,No explicit description of responsibility allocation across organizational levels.,"[""Mubadala2023__c_0032"", ""Mubadala2023__c_0033"", ""Mubadala2023__c_0036"", ""Mubadala2023__c_0048"", ""Mubadala2023__c_0063""]",2v2
D017,disagreement,Mubadala2023,phase3,GRI 2,2-5,__none__,b.ii,0,partial,standard,"States assurance was conducted for Scope 1/2 emissions but omits standards, assurance level, or limitations.","[""Mubadala2023__c_0009""]",partial,standard,"States assurance was conducted for Scope 1/2 emissions but omits standards, assurance level, or limitations.","[""Mubadala2023__c_0009""]",no_evidence,standard,"No details on assured scope, standards, or limitations are described.","[""Mubadala2023__c_0009""]",no_evidence,standard,"No details on assured scope, standards, or limitations are described.","[""Mubadala2023__c_0009""]",2v2
D018,disagreement,OKQ82023,phase3,GRI 2,2-29,__none__,a.iii,0,partial,standard,"Engagement methods (dialogues, materiality analysis) are described, but no explicit focus on ensuring 'meaningfulness' of engagement.","[""OKQ82023__c_0119"", ""OKQ82023__c_0120"", ""OKQ82023__c_0122"", ""OKQ82023__c_0123"", ""OKQ82023__c_0143""]",partial,standard,"References dialogues and collaborations but lacks explicit mechanisms to ensure meaningful engagement (e.g., feedback loops, participation methods).","[""OKQ82023__c_0101"", ""OKQ82023__c_0119"", ""OKQ82023__c_0120"", ""OKQ82023__c_0104"", ""OKQ82023__c_0151""]",pass,standard,"Evidence of stakeholder dialogues, materiality assessments, and structured engagement processes.","[""OKQ82023__c_0119"", ""OKQ82023__c_0120"", ""OKQ82023__c_0121"", ""OKQ82023__c_0122"", ""OKQ82023__c_0123""]",pass,standard,"Evidence describes stakeholder dialogues (chunk 0119, 0120) and collaborations (chunk 0104) to ensure meaningful engagement.","[""OKQ82023__c_0119"", ""OKQ82023__c_0120"", ""OKQ82023__c_0104""]",2v2
D019,disagreement,HPCL2023,phase3,GRI 2,2-19,__none__,a.v,0,pass,standard,Explicitly mentions superannuation benefits for Board-level executives.,"[""HPCL2023__c_0097""]",pass,standard,Explicitly mentions superannuation benefits for Board-level executives.,"[""HPCL2023__c_0097""]",no_evidence,standard,No evidence describes retirement benefits policies.,[],no_evidence,standard,No evidence describes retirement benefits policies.,[],2v2
D020,disagreement,Bunduq2023,phase3,GRI 2,2-6,__none__,b.ii,0,no_evidence,standard,No verdict produced.,[],pass,standard,"Chunk 0007 details UPD's role as a shareholder and customer, and chunks 0004/0006 describe supply chain logistics.","[""Bunduq2023__c_0007"", ""Bunduq2023__c_0004"", ""Bunduq2023__c_0006""]",no_evidence,standard,"No explicit description of the supply chain (suppliers, procurement) in the chunks.",[],pass,standard,"Supply chain details (pipelines, Das Island processing, UPD relationship) are provided.","[""Bunduq2023__c_0003"", ""Bunduq2023__c_0006"", ""Bunduq2023__c_0007""]",2v2
D021,disagreement,IslandOil2024,phase3,GRI 2,2-23,__none__,c,0,pass,standard,Chunk 0151 explicitly explains that one policy is not publicly available but is accessible internally and integrated into the Code of Business Conduct.,"[""IslandOil2024__c_0151""]",pass,standard,Chunk 0151 explains that one policy is not publicly available but is accessible internally and in the Code of Business Conduct.,"[""IslandOil2024__c_0151""]",partial,standard,Evidence explains one policy is not publicly available but does not address all policy commitments.,"[""IslandOil2024__c_0151""]",partial,standard,Evidence explains one policy is not publicly available but does not mention links for others.,"[""IslandOil2024__c_0151""]",2v2
D022,disagreement,HPCL2024,phase3,GRI 2,2-26,__none__,a.ii,0,no_evidence,standard,No explicit mechanisms for raising concerns about business conduct are described in the evidence.,"[""HPCL2024__c_0274"", ""HPCL2024__c_0275"", ""HPCL2024__c_0329"", ""HPCL2024__c_0330"", ""HPCL2024__c_0328""]",no_evidence,standard,No explicit description of mechanisms for raising concerns about business conduct.,"[""HPCL2024__c_0330""]",partial,standard,"Vague mention of 'proactive mechanisms' to respond to concerns in chunk 0330, but no specific channels (e.g., hotlines, portals) are described.","[""HPCL2024__c_0330""]",partial,standard,Mentions feedback mechanisms but lacks explicit details on raising concerns about business conduct.,"[""HPCL2024__c_0330"", ""HPCL2024__c_0329"", ""HPCL2024__c_0275"", ""HPCL2024__c_0274"", ""HPCL2024__c_0327""]",2v2
D023,disagreement,Desfa2023,phase3,GRI 2,2-25,__none__,a,0,pass,standard,Evidence describes DESFA's commitment to remediate impacts through grievance mechanisms and stakeholder engagement frameworks.,"[""Desfa2023__c_0178""]",pass,standard,Evidence describes DESFA's commitment to remediate impacts through grievance mechanisms and stakeholder engagement frameworks.,"[""Desfa2023__c_0178""]",no_evidence,standard,No explicit description of commitments to remediate negative impacts caused by DESFA.,"[""Desfa2023__c_0177""]",no_evidence,standard,No explicit description of commitments to remediate negative impacts; mentions engagement principles but not remediation.,"[""Desfa2023__c_0177""]",2v2
D024,disagreement,Bunduq2023,phase3,GRI 2,2-16,__none__,a,0,partial,standard,The report describes grievance channels and CEO involvement but does not explicitly state communication to the highest governance body.,"[""Bunduq2023__c_0100""]",partial,standard,The report describes grievance channels and CEO involvement but does not explicitly state communication to the highest governance body.,"[""Bunduq2023__c_0100""]",no_evidence,standard,No explicit description of communication to the highest governance body; mentions CEO involvement but not governance body.,"[""Bunduq2023__c_0100""]",no_evidence,standard,No explicit description of communication to the highest governance body; mentions CEO involvement but not governance body.,"[""Bunduq2023__c_0100""]",2v2
D025,disagreement,IslandOil2024,phase3,GRI 2,2-6,__none__,b.ii,0,pass,standard,"Supply chain management described in chunk 0027 (sourcing, compliance, Code of Conduct).","[""IslandOil2024__c_0027""]",pass,standard,"Supply chain described with focus on sourcing, compliance, and business associate evaluations.","[""IslandOil2024__c_0027""]",partial,standard,Mentions supply chain management but lacks detailed structure (chunk 0027).,"[""IslandOil2024__c_0027""]",partial,standard,Mentions supply chain management but lacks detailed upstream/downstream entity descriptions.,"[""IslandOil2024__c_0027""]",2v2
D026,disagreement,HPCL2024,phase3,GRI 2,2-15,__none__,a,0,pass,standard,"The Code of Conduct for Board Members and Senior Management explicitly addresses conflict mitigation, including non-participation in decisions with conflicts.","[""HPCL2024__c_0317"", ""HPCL2024__c_0316""]",pass,standard,The Code of Conduct for Board Members and Senior Management explicitly addresses conflict avoidance and governance processes.,"[""HPCL2024__c_0317""]",partial,standard,Mentions code of conduct and internal controls but lacks explicit description of highest governance body's conflict mitigation processes.,"[""HPCL2024__c_0316"", ""HPCL2024__c_0317""]",no_evidence,standard,No explicit description of governance body processes for preventing/mitigating conflicts of interest.,"[""HPCL2024__c_0317""]",3stat
D027,disagreement,HPCL2024,phase3,GRI 2,2-13,__none__,a.ii,0,partial,standard,"Mentions structured frameworks and committees (e.g., EAM, CFD) but does not explicitly link delegation to managing impacts on economy, environment, or people.","[""HPCL2024__c_0321"", ""HPCL2024__c_0320"", ""HPCL2024__c_0316""]",pass,standard,"The EAM delineates delegated authorities across hierarchical levels and committees, indicating delegation to other employees.","[""HPCL2024__c_0321""]",no_evidence,standard,No explicit mention of delegation to non-senior employees for managing impacts. EAM outlines authority levels but not employee-specific sustainability responsibilities.,"[""HPCL2024__c_0321"", ""HPCL2024__c_0316""]",no_evidence,standard,No explicit description of delegation to other employees for managing impacts on economy/environment/people.,"[""HPCL2024__c_0321""]",3stat
D028,disagreement,Energean2024,phase3,GRI 2,2-1,__none__,b,0,pass,standard,Legal form ('Plc') and ownership (listed on FTSE 250 and TA-35) are mentioned in chunks 0026 and 0027.,"[""Energean2024__c_0026"", ""Energean2024__c_0027""]",partial,standard,"Legal form ('Plc') is mentioned, but ownership structure is not explicitly described.","[""Energean2024__c_0026"", ""Energean2024__c_0027""]",partial,standard,Implied 'independent' and 'E&P company' in chunks 0026-0027 but no explicit ownership/legal form details.,"[""Energean2024__c_0026"", ""Energean2024__c_0027""]",no_evidence,standard,"No explicit mention of legal form (e.g., 'public limited company') in evidence.",[],3stat
D029,disagreement,OQ2023,phase3,GRI 2,2-25,__none__,e,0,pass,standard,"Chunk 0072 provides examples of grievances received and actions taken, demonstrating tracking of effectiveness.","[""OQ2023__c_0072""]",partial,standard,References examples of grievances and actions taken but lacks specific metrics or stakeholder feedback on effectiveness.,"[""OQ2023__c_0072""]",partial,standard,"Chunk 0072 mentions examples of grievances and actions taken, but lacks explicit tracking metrics or stakeholder feedback.","[""OQ2023__c_0072""]",no_evidence,standard,No evidence describes tracking effectiveness of grievance mechanisms or stakeholder feedback.,[],3stat
D030,disagreement,OKQ82024,phase3,GRI 2,2-23,__none__,d,0,pass,standard,"The Board of Directors, the most senior level, approved the sustainability strategy and policy (chunk 0117, 0123).","[""OKQ82024__c_0117"", ""OKQ82024__c_0123""]",partial,standard,"The Board's role in reviewing policies is mentioned, but approval levels for specific policies are not detailed.","[""OKQ82024__c_0123"", ""OKQ82024__c_0117"", ""OKQ82024__c_0116"", ""OKQ82024__c_0114"", ""OKQ82024__c_0118""]",no_evidence,standard,The approval level of policy commitments is not explicitly stated in the evidence.,"[""OKQ82024__c_0117"", ""OKQ82024__c_0123"", ""OKQ82024__c_0114"", ""OKQ82024__c_0115"", ""OKQ82024__c_0116""]",no_evidence,standard,"The Board's role in approving policies is mentioned, but no explicit statement confirms it is the most senior level.","[""OKQ82024__c_0117"", ""OKQ82024__c_0114"", ""OKQ82024__c_0123"", ""OKQ82024__c_0113"", ""OKQ82024__c_0116""]",3stat
D031,disagreement,Bangchak2024,phase5,GRI 3,3-3,Economic impacts,e.iv,0,no_evidence,standard,No explicit lessons learned or policy updates related to economic impacts are described.,[],no_evidence,standard,No evidence of lessons learned related to economic impacts incorporated into policies.,[],no_evidence,standard,No explicit mention of lessons learned or policy updates related to economic impacts.,[],no_evidence,standard,No mention of lessons learned or policy changes related to economic impacts.,[],all_agree
