phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,partial,1,"3-c: 19 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-4, 2-6, 2-7, 2-11, 2-12, 2-14, 2-16, 2-17, 2-18, 2-23, 2-24, 2-25, 2-26, 2-27, 2-29, 2-30"
phase4,pass,1,3-b-i (advisory): 1 reported material topic(s) outside GRI 11 scope — manual review required: ['Supplier environmental assessment']
phase5,partial,1,"4-x: 19 disclosure(s) partial / no_evidence: 3-1, 3-2, 3-3(Anti-competitive behavior), 3-3(Anti-corruption), 3-3(Biodiversity), 3-3(Diversity and equal opportunity), 3-3(Emissions), 3-3(Employment), 3-3(Energy), 3-3(Forced or compulsory labour), 3-3(Freedom of association and collective bargaining),"
phase6,fail,4,5-a: at least one topic-standard disclosure rolled up to partial / no_evidence | 5-b-i: 52 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b-ii: 14 GRI 11 expected disclosures use a reason other than 'Not applicable' (or have an empty ex
phase7,fail,2,6-a-i: 3 expected disclosures not reported and not omitted | 6-a-ii: 21 omission rows have invalid reason or empty explanation (incl. 14 GRI 11 5-b strict 'Not applicable' violations)
phase8,fail,1,item xii: Reasons for omission — missing or invalid
phase9,external_verification,0,
final,fail,5,phase3 (partial): 1 finding | phase5 (partial): 1 finding | phase6 (fail): 4 findings | phase7 (fail): 2 findings | phase8 (fail): 1 finding
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
