phase,status,n_findings,notes
phase1,pass,0,
phase2,external_verification,0,
phase3,partial,2,"3-c: 14 disclosure(s) partial / no_evidence (non-omitted): 2-1, 2-2, 2-3, 2-5, 2-8, 2-13, 2-14, 2-16, 2-23, 2-24, 2-25, 2-26, 2-27, 2-28 | 3-info: 1 requirement(s) marked condition_not_applicable (condition explicitly negated in evidence)"
phase4,pass,1,3-b-i (advisory): 1 reported material topic(s) outside GRI 11 scope — manual review required: ['Information technology and cybersecurity']
phase5,partial,1,"4-x: 21 disclosure(s) partial / no_evidence: 3-3(Air emissions), 3-3(Anti-corruption & Anti-competitive behavior), 3-3(Asset integrity and critical incident management), 3-3(Biodiversity), 3-3(Conflict and security), 3-3(Economic impacts), 3-3(Employment Practices), 3-3(Forced labor and modern slave"
phase6,fail,4,5-a: at least one topic-standard disclosure rolled up to partial / no_evidence | 5-b-i: 18 GRI 11 promoted disclosures for material topics are neither reported nor omitted nor externally referenced | 5-b-ii: 2 GRI 11 expected disclosures use a reason other than 'Not applicable' (or have an empty exp
phase7,fail,1,6-a-ii: 2 omission rows have invalid reason or empty explanation (incl. 2 GRI 11 5-b strict 'Not applicable' violations)
phase8,pass,0,
phase9,external_verification,0,
final,fail,4,phase3 (partial): 2 findings | phase5 (partial): 1 finding | phase6 (fail): 4 findings | phase7 (fail): 1 finding
overall,fail,0,in_accordance pass requires phase3 + phase4 + phase6 + phase7 + phase8 all pass
